opaque_id,model,task_id
S01,sonnet,08_group_anagrams
S02,opus,02_valid_parentheses
S03,opus,19_excel_column_number
S04,sonnet,22_valid_ipv4
S05,sonnet,10_longest_common_prefix
S06,sonnet,20_compare_version
S07,opus,09_binary_search
S08,opus,18_excel_column_title
S09,opus,05_roman_to_int
S10,opus,16_multiply_strings
S11,sonnet,07_max_subarray
S12,sonnet,18_excel_column_title
S13,opus,06_merge_intervals
S14,sonnet,16_multiply_strings
S15,sonnet,09_binary_search
S16,opus,08_group_anagrams
S17,opus,15_product_except_self
S18,opus,04_is_palindrome
S19,sonnet,11_move_zeroes
S20,opus,01_two_sum
S21,opus,10_longest_common_prefix
S22,sonnet,13_climb_stairs
S23,sonnet,06_merge_intervals
S24,opus,12_spiral_order
S25,sonnet,23_my_atoi
S26,opus,23_my_atoi
S27,opus,17_simplify_path
S28,opus,03_fizzbuzz
S29,opus,13_climb_stairs
S30,opus,21_decode_string
S31,sonnet,04_is_palindrome
S32,sonnet,05_roman_to_int
S33,opus,07_max_subarray
S34,sonnet,19_excel_column_number
S35,opus,14_length_of_longest_substring
S36,sonnet,03_fizzbuzz
S37,opus,20_compare_version
S38,sonnet,21_decode_string
S39,sonnet,02_valid_parentheses
S40,opus,22_valid_ipv4
S41,opus,11_move_zeroes
S42,sonnet,15_product_except_self
S43,sonnet,14_length_of_longest_substring
S44,sonnet,01_two_sum
S45,sonnet,12_spiral_order
S46,sonnet,17_simplify_path
