opaque_id,task_id,dimension,human_score
S01,09_binary_search,correctness,
S01,09_binary_search,completeness,
S01,09_binary_search,code_quality,
S01,09_binary_search,instruction_adherence,
S02,19_excel_column_number,correctness,
S02,19_excel_column_number,completeness,
S02,19_excel_column_number,code_quality,
S02,19_excel_column_number,instruction_adherence,
S03,22_valid_ipv4,correctness,
S03,22_valid_ipv4,completeness,
S03,22_valid_ipv4,code_quality,
S03,22_valid_ipv4,instruction_adherence,
S04,21_decode_string,correctness,
S04,21_decode_string,completeness,
S04,21_decode_string,code_quality,
S04,21_decode_string,instruction_adherence,
S05,21_decode_string,correctness,
S05,21_decode_string,completeness,
S05,21_decode_string,code_quality,
S05,21_decode_string,instruction_adherence,
S06,17_simplify_path,correctness,
S06,17_simplify_path,completeness,
S06,17_simplify_path,code_quality,
S06,17_simplify_path,instruction_adherence,
S07,06_merge_intervals,correctness,
S07,06_merge_intervals,completeness,
S07,06_merge_intervals,code_quality,
S07,06_merge_intervals,instruction_adherence,
S08,19_excel_column_number,correctness,
S08,19_excel_column_number,completeness,
S08,19_excel_column_number,code_quality,
S08,19_excel_column_number,instruction_adherence,
S09,03_fizzbuzz,correctness,
S09,03_fizzbuzz,completeness,
S09,03_fizzbuzz,code_quality,
S09,03_fizzbuzz,instruction_adherence,
S10,13_climb_stairs,correctness,
S10,13_climb_stairs,completeness,
S10,13_climb_stairs,code_quality,
S10,13_climb_stairs,instruction_adherence,
S11,20_compare_version,correctness,
S11,20_compare_version,completeness,
S11,20_compare_version,code_quality,
S11,20_compare_version,instruction_adherence,
S12,10_longest_common_prefix,correctness,
S12,10_longest_common_prefix,completeness,
S12,10_longest_common_prefix,code_quality,
S12,10_longest_common_prefix,instruction_adherence,
S13,21_decode_string,correctness,
S13,21_decode_string,completeness,
S13,21_decode_string,code_quality,
S13,21_decode_string,instruction_adherence,
S14,18_excel_column_title,correctness,
S14,18_excel_column_title,completeness,
S14,18_excel_column_title,code_quality,
S14,18_excel_column_title,instruction_adherence,
S15,16_multiply_strings,correctness,
S15,16_multiply_strings,completeness,
S15,16_multiply_strings,code_quality,
S15,16_multiply_strings,instruction_adherence,
S16,02_valid_parentheses,correctness,
S16,02_valid_parentheses,completeness,
S16,02_valid_parentheses,code_quality,
S16,02_valid_parentheses,instruction_adherence,
S17,03_fizzbuzz,correctness,
S17,03_fizzbuzz,completeness,
S17,03_fizzbuzz,code_quality,
S17,03_fizzbuzz,instruction_adherence,
S18,23_my_atoi,correctness,
S18,23_my_atoi,completeness,
S18,23_my_atoi,code_quality,
S18,23_my_atoi,instruction_adherence,
S19,09_binary_search,correctness,
S19,09_binary_search,completeness,
S19,09_binary_search,code_quality,
S19,09_binary_search,instruction_adherence,
S20,17_simplify_path,correctness,
S20,17_simplify_path,completeness,
S20,17_simplify_path,code_quality,
S20,17_simplify_path,instruction_adherence,
S21,17_simplify_path,correctness,
S21,17_simplify_path,completeness,
S21,17_simplify_path,code_quality,
S21,17_simplify_path,instruction_adherence,
S22,16_multiply_strings,correctness,
S22,16_multiply_strings,completeness,
S22,16_multiply_strings,code_quality,
S22,16_multiply_strings,instruction_adherence,
S23,06_merge_intervals,correctness,
S23,06_merge_intervals,completeness,
S23,06_merge_intervals,code_quality,
S23,06_merge_intervals,instruction_adherence,
S24,08_group_anagrams,correctness,
S24,08_group_anagrams,completeness,
S24,08_group_anagrams,code_quality,
S24,08_group_anagrams,instruction_adherence,
S25,15_product_except_self,correctness,
S25,15_product_except_self,completeness,
S25,15_product_except_self,code_quality,
S25,15_product_except_self,instruction_adherence,
S26,04_is_palindrome,correctness,
S26,04_is_palindrome,completeness,
S26,04_is_palindrome,code_quality,
S26,04_is_palindrome,instruction_adherence,
S27,22_valid_ipv4,correctness,
S27,22_valid_ipv4,completeness,
S27,22_valid_ipv4,code_quality,
S27,22_valid_ipv4,instruction_adherence,
S28,12_spiral_order,correctness,
S28,12_spiral_order,completeness,
S28,12_spiral_order,code_quality,
S28,12_spiral_order,instruction_adherence,
S29,14_length_of_longest_substring,correctness,
S29,14_length_of_longest_substring,completeness,
S29,14_length_of_longest_substring,code_quality,
S29,14_length_of_longest_substring,instruction_adherence,
S30,01_two_sum,correctness,
S30,01_two_sum,completeness,
S30,01_two_sum,code_quality,
S30,01_two_sum,instruction_adherence,
S31,15_product_except_self,correctness,
S31,15_product_except_self,completeness,
S31,15_product_except_self,code_quality,
S31,15_product_except_self,instruction_adherence,
S32,11_move_zeroes,correctness,
S32,11_move_zeroes,completeness,
S32,11_move_zeroes,code_quality,
S32,11_move_zeroes,instruction_adherence,
S33,01_two_sum,correctness,
S33,01_two_sum,completeness,
S33,01_two_sum,code_quality,
S33,01_two_sum,instruction_adherence,
S34,18_excel_column_title,correctness,
S34,18_excel_column_title,completeness,
S34,18_excel_column_title,code_quality,
S34,18_excel_column_title,instruction_adherence,
