task_id,model,dimension,judge_score
09_binary_search,sonnet,correctness,5
09_binary_search,sonnet,completeness,5
09_binary_search,sonnet,code_quality,5
09_binary_search,sonnet,instruction_adherence,5
19_excel_column_number,sonnet,correctness,5
19_excel_column_number,sonnet,completeness,5
19_excel_column_number,sonnet,code_quality,5
19_excel_column_number,sonnet,instruction_adherence,5
22_valid_ipv4,sonnet,correctness,5
22_valid_ipv4,sonnet,completeness,5
22_valid_ipv4,sonnet,code_quality,5
22_valid_ipv4,sonnet,instruction_adherence,5
21_decode_string,sonnet,correctness,5
21_decode_string,sonnet,completeness,5
21_decode_string,sonnet,code_quality,5
21_decode_string,sonnet,instruction_adherence,5
21_decode_string,opus,correctness,5
21_decode_string,opus,completeness,5
21_decode_string,opus,code_quality,5
21_decode_string,opus,instruction_adherence,5
17_simplify_path,opus,correctness,5
17_simplify_path,opus,completeness,5
17_simplify_path,opus,code_quality,5
17_simplify_path,opus,instruction_adherence,5
06_merge_intervals,sonnet,correctness,5
06_merge_intervals,sonnet,completeness,5
06_merge_intervals,sonnet,code_quality,5
06_merge_intervals,sonnet,instruction_adherence,5
19_excel_column_number,opus,correctness,5
19_excel_column_number,opus,completeness,5
19_excel_column_number,opus,code_quality,5
19_excel_column_number,opus,instruction_adherence,5
03_fizzbuzz,sonnet,correctness,5
03_fizzbuzz,sonnet,completeness,5
03_fizzbuzz,sonnet,code_quality,5
03_fizzbuzz,sonnet,instruction_adherence,5
13_climb_stairs,opus,correctness,5
13_climb_stairs,opus,completeness,5
13_climb_stairs,opus,code_quality,5
13_climb_stairs,opus,instruction_adherence,5
20_compare_version,planted,correctness,2
20_compare_version,planted,completeness,2
20_compare_version,planted,code_quality,4
20_compare_version,planted,instruction_adherence,2
10_longest_common_prefix,opus,correctness,5
10_longest_common_prefix,opus,completeness,5
10_longest_common_prefix,opus,code_quality,5
10_longest_common_prefix,opus,instruction_adherence,5
21_decode_string,planted,correctness,2
21_decode_string,planted,completeness,2
21_decode_string,planted,code_quality,3
21_decode_string,planted,instruction_adherence,2
