task_id,model,tests_passed,tests_total
01_two_sum,opus,6,6
02_valid_parentheses,opus,8,8
03_fizzbuzz,opus,6,6
04_is_palindrome,opus,7,7
05_roman_to_int,opus,8,8
06_merge_intervals,opus,7,7
07_max_subarray,opus,7,7
08_group_anagrams,opus,6,6
09_binary_search,opus,7,7
10_longest_common_prefix,opus,7,7
11_move_zeroes,opus,6,6
12_spiral_order,opus,6,6
13_climb_stairs,opus,6,6
14_length_of_longest_substring,opus,7,7
15_product_except_self,opus,6,6
16_multiply_strings,opus,7,7
17_simplify_path,opus,7,7
18_excel_column_title,opus,8,8
19_excel_column_number,opus,8,8
20_compare_version,opus,7,7
21_decode_string,opus,6,6
22_valid_ipv4,opus,9,9
23_my_atoi,opus,9,9
01_two_sum,sonnet,6,6
02_valid_parentheses,sonnet,8,8
03_fizzbuzz,sonnet,6,6
04_is_palindrome,sonnet,7,7
05_roman_to_int,sonnet,8,8
06_merge_intervals,sonnet,7,7
07_max_subarray,sonnet,7,7
08_group_anagrams,sonnet,6,6
09_binary_search,sonnet,7,7
10_longest_common_prefix,sonnet,7,7
11_move_zeroes,sonnet,6,6
12_spiral_order,sonnet,6,6
13_climb_stairs,sonnet,6,6
14_length_of_longest_substring,sonnet,7,7
15_product_except_self,sonnet,6,6
16_multiply_strings,sonnet,7,7
17_simplify_path,sonnet,7,7
18_excel_column_title,sonnet,8,8
19_excel_column_number,sonnet,8,8
20_compare_version,sonnet,7,7
21_decode_string,sonnet,6,6
22_valid_ipv4,sonnet,9,9
23_my_atoi,sonnet,9,9
